artist,track,date,danceability,energy,mood,track_id,mxm_track_id
Johnny Horton,Johnny Reb,9/7/1959,0.83,0.28,0.81,TRVMHHK12903CFEA2F,1041982
Fabian,Got The Feeling,9/28/1959,0.58,0.85,0.89,TRJSUEM12903CBA78F,5528808
Ritchie Valens,That's My Little Suzie,4/27/1959,0.65,0.55,0.95,TRJAHMY12903CB3A28,8103967
Buddy Knox,I Think I'm Gonna Kill Myself,5/4/1959,0.68,0.58,0.9,TRVHENQ12903CB2F4E,2486563
Bing Crosby,White Christmas,12/28/1959,0.21,0.37,0.24,TRBSAAI12903C9EC72,9965333
Little Willie John,Leave My Kitten Alone,8/17/1959,0.53,0.59,0.96,TRBIGUJ128F92D674F,9508545
Frank Sinatra,French Foreign Legion,4/20/1959,0.57,0.51,0.51,TRALBRN128F145B2C1,6835251
Anita Bryant,Six Boys And Seven Girls,10/12/1959,0.24,0.24,0.21,TRJZCRN12903CEC7AF,7988308
Bo Diddley,Crackin' Up,7/27/1959,0.53,0.55,0.79,TRVYANY12903CA9D9F,2906465
Johnny Tillotson,Dreamy Eyes,1/26/1959,0.49,0.45,0.54,TRAYVSX12903CF8A51,3691862
Johnny Cash,The Little Drummer Boy,12/28/1959,0.66,0.31,0.52,TRBIWUQ12903CA4390,3513786
Brook Benton,This Time Of The Year,1/18/1960,0.25,0.31,0.13,TRPEDDB12903CDC5BE,9236364
Eugene Church,Miami,8/17/1959,0.76,0.83,0.81,TRAHBAJ128F93010D9,8713097
Tommy Sands,The Worryin' Kind,1/26/1959,0.62,0.9,0.9,TRZGWWC12903CE059E,5745803
George Jones,White Lightning,5/11/1959,0.47,0.62,0.96,TRFCIGV128F1486A5F,2487910
Johnny Cash,Five Feet High And Rising,9/21/1959,0.63,0.5,0.59,TRLOIUZ128F9363522,7542242
Rusty York,Sugaree,7/27/1959,0.58,0.44,0.96,TRHRWYI128F932594C,7079586
Chuck Berry,Little Queenie,5/11/1959,0.56,0.71,0.64,TRUHCQM128F930574A,12303393
Johnny Horton,Sal's Got A Sugar Lip,9/7/1959,0.72,0.64,0.96,TRKUZRI12903CFEA36,778429
Buddy Holly,Heartbeat,1/19/1959,0.63,0.37,0.84,TRNEQST12903CCFEC4,7468212
April Stevens,Teach Me Tiger,12/14/1959,0.57,0.19,0.6,TREAMGW12903CF9507,9396397
Hawkshaw Hawkins,Soldier's Joy,8/10/1959,0.83,0.52,0.97,TRITOEM128F426C288,7687264
Buddy Holly,Raining In My Heart,4/6/1959,0.59,0.29,0.62,TRBILYI12903CE054D,9445710
Ritchie Valens,Little Girl,7/20/1959,0.62,0.41,0.87,TROFKMY12903CBA809,7969925
George Jones,Who Shot Sam,8/10/1959,0.58,0.82,0.96,TRAQYXB128F92EC315,9686387
Little Richard,Kansas City,5/18/1959,0.53,0.83,0.83,TRMPJOS128F9325E41,1165284
Frankie Ford,Alimony,8/10/1959,0.63,0.83,0.75,TRXFPLA128F92D400F,9331219
Brenda Lee,I'm Sorry,7/18/1960,0.57,0.09,0.26,TRAONAP128F145672D,12858004
Mark Dinning,Teen Angel,2/8/1960,0.52,0.06,0.27,TRETAMQ12903C973E1,9487974
Marty Robbins,El Paso,1/4/1960,0.6,0.74,0.82,TROZRVM12903CF0980,8166863
Connie Francis,Everybody's Somebody's Fool,6/27/1960,0.55,0.73,0.76,TRZXHUT128F92D8744,1235451
Chubby Checker,The Twist,9/19/1960,0.52,0.71,0.9,TRCVKUZ12903CB4DE0,9791494
Hollywood Argyles,Alley-Oop,7/11/1960,0.63,0.41,0.68,TRWSEQE12903CA9DAD,8719102
Brenda Lee,I Want To Be Wanted (Per Tutta La Vita),10/24/1960,0.46,0.26,0.38,TRBPARP128F934F671,1887718
Ray Charles,Georgia On My Mind,11/14/1960,0.23,0.54,0.34,TRNEYSM128F93321A6,919949
Floyd Cramer,Last Date,11/28/1960,0.55,0.28,0.62,TRBSKFR128F428A20B,8316133
Jim Reeves,He'll Have To Go,3/7/1960,0.5,0.25,0.26,TROSIXU128F4295024,12585997
Jimmy Jones,Handy Man,2/29/1960,0.55,0.73,0.85,TRIPPIC12903CA3689,931933
Roy Orbison,Only The Lonely (Know The Way I Feel),7/25/1960,0.59,0.32,0.76,TREVBKF128F42708E8,2421291
Bobby Rydell,Wild One,3/28/1960,0.78,0.7,0.84,TRDMMRF128F42B19B1,4726999
Johnny Tillotson,Poetry In Motion,11/14/1960,0.48,0.53,0.85,TRIEIUL12903D03A9F,4632131
Jimmy Jones,Good Timin',5/23/1960,0.59,0.3,0.96,TRLGZHG128EF34FE48,931932
Dion and the Belmonts,Where Or When,2/8/1960,0.36,0.3,0.5,TRRVEHP128F934923B,6693766
Joe Jones,You Talk Too Much,11/14/1960,0.74,0.58,0.85,TRMXLXD128F932DE3F,7163785
Duane Eddy,Because They're Young,7/4/1960,0.52,0.64,0.9,TRINAJE128F92FB145,4538520
Johnny Horton,North To Alaska,12/19/1960,0.62,0.46,0.88,TRBJSNJ128F426C20F,2568878
